Time [s],ContactID,Distance [m]
0,A,9.278924119115748
0.1,A,9.155768838411571
0.2,A,8.946456269278821
0.3,A,9.045542678728804
0.4,A,8.99846072734043
0.5,A,8.841911912782187
0.6,A,8.903258837724607
0.7,A,8.884755321930463
0.8,A,8.861963054218858
0.9,A,8.793636839089281
1.0,A,8.557177205818432
1.1,A,8.710332844911012
1.2,A,8.59327025033206
1.3,A,8.628660096889577
1.4,A,8.693097257368299
1.5,A,8.38572887190007
1.6,A,8.317611014035672
1.7,A,8.466538657973274
1.8,A,8.484201221828563
1.9,A,8.284778334857926
2.0,A,8.312476411242326
2.1,A,8.04780794390331
2.2,A,8.21034228678395
2.3,A,8.144246289472907
2.4,A,8.040158576330048
2.5,A,8.024873833728714
2.6,A,8.017686611387056
2.7,A,7.969155083960126
2.8,A,7.898450278639816
2.9,A,7.758946148879662
3.0,A,7.824927078453783
3.1,A,7.82338917386098
3.2,A,7.7765552323381835
3.3,A,7.734651266024138
3.4,A,7.5504554672137285
3.5,A,7.498725989105999
3.6,A,7.705976101686339
3.7,A,7.591196734387838
3.8,A,7.611731814972162
3.9,A,7.40252041303116
4.0,A,7.526536388770562
4.1,A,7.505374323069293
4.2,A,7.39210095053473
4.3,A,7.405537647885689
4.4,A,7.366074917206352
4.5,A,7.286615940252919
4.6,A,7.340072081643201
4.7,A,7.223013829324976
4.8,A,7.268615626871501
4.9,A,7.2126447463988725
5.0,A,7.323208016205128
5.1,A,7.077196034266531
5.2,A,7.10453439128404
5.3,A,7.128190309780464
5.4,A,7.239577505880067
5.5,A,7.09037089940708
5.6,A,7.032247829706182
5.7,A,6.998240067533599
5.8,A,6.855022320652213
5.9,A,6.967415326990969
6.0,A,6.870633947766585
6.1,A,6.80468031129895
6.2,A,7.069379200797896
6.3,A,6.895879227086134
6.4,A,6.807225368942644
6.5,A,6.864513246108424
6.6,A,6.828563106493681
6.7,A,6.720573352330652
6.8,A,6.663562466031776
6.9,A,6.653868790611227
7.0,A,6.695629412658717
7.1,A,6.629714534103756
7.2,A,6.765066515114778
7.3,A,6.619909482131862
7.4,A,6.622039032823062
7.5,A,6.653062695272915
7.6,A,6.626296014686701
7.7,A,6.5439439870829705
7.8,A,6.498096446093826
7.9,A,6.56557111001728
8.0,A,6.575436301157091
8.1,A,6.455426347274969
8.2,A,6.534086660705328
8.3,A,6.486251462837593
8.4,A,6.608840222195444
8.5,A,6.60070716137832
8.6,A,6.487230124706572
8.7,A,6.487523023538158
8.8,A,6.458607765173469
8.9,A,6.466193405893069
9.0,A,6.488682198173911
9.1,A,6.501070717094542
9.2,A,6.544228716102328
9.3,A,6.54564737853721
9.4,A,6.52141610148771
9.5,A,6.418893408723144
9.6,A,6.520883594991154
9.7,A,6.487988110183862
9.8,A,6.509162213978798
9.9,A,6.366786875234606
10.0,A,6.5083461785754695
10.1,A,6.451284303480266
10.2,A,6.437192150175779
10.3,A,6.355796799513057
10.4,A,6.235981801635199
10.5,A,6.197254330552543
10.6,A,6.1098049159473735
10.7,A,6.157084473370549
10.8,A,5.956461882361085
10.9,A,5.9223831938153735
11.0,A,5.667594640008992
11.1,A,5.85659587651008
11.2,A,5.7532665598027
11.3,A,5.66047742373523
11.4,A,5.677926596317606
11.5,A,5.412797989243082
11.6,A,5.36501981314689
11.7,A,5.316131086315484
11.8,A,5.323980852705693
11.9,A,5.211621358116443
12.0,A,5.21256587322768
12.1,A,5.047249842790464
12.2,A,5.16776508488301
12.3,A,4.967796553701046
12.4,A,4.835002226208005
12.5,A,4.765987640724458
12.6,A,4.696429441311045
12.7,A,4.597729302567556
12.8,A,4.568645204003631
12.9,A,4.394292825086455
13.0,A,4.412950005113967
13.1,A,4.426527522167131
13.2,A,4.208409083623335
13.3,A,4.246381202063312
13.4,A,4.16059909286522
13.5,A,4.038970500265775
13.6,A,4.104069794481897
13.7,A,3.9695965024646522
13.8,A,3.7870058172597116
13.9,A,3.776883495994069
14.0,A,3.7483721082683794
14.1,A,3.6624581928294853
14.2,A,3.6209402334340153
14.3,A,3.5002591599949033
14.4,A,3.3682789868411773
14.5,A,3.4099252051995474
14.6,A,3.238628636761548
14.7,A,3.2530124907018605
14.8,A,3.106562263339063
14.9,A,3.123564684670742
15.0,A,3.099061465672874
15.1,A,2.925635946030389
15.2,A,2.8989565914824142
15.3,A,2.878528985293971
15.4,A,2.7581435609076004
15.5,A,2.6925193309323756
15.6,A,2.510408927313799
15.7,A,2.6462503826666253
15.8,A,2.5134359329486795
15.9,A,2.4186421035193693
16.0,A,2.4033886366962807
16.1,A,2.296841322953828
16.2,A,2.279355703747027
16.3,A,2.11534214939682
16.4,A,2.1213481337685343
16.5,A,2.020821629550822
16.6,A,1.9136635770164487
16.7,A,1.9005731392342198
16.8,A,1.8954713163727122
16.9,A,1.7856642146590258
17.0,A,1.6941812713085738
17.1,A,1.6063113923476702
17.2,A,1.5653799899538647
17.3,A,1.4514062505025798
17.4,A,1.4092250043037156
17.5,A,1.3337240019235919
17.6,A,1.3225394200850986
17.7,A,1.2225141492137452
17.8,A,1.2305532776871013
17.9,A,1.0735784613188744
18.0,A,1.046283284454691
18.1,A,0.9834401854047656
18.2,A,0.8970317080579363
18.3,A,0.7999206989553757
18.4,A,0.7181018844850136
18.5,A,0.7579687441809168
18.6,A,0.6162648424210766
18.7,A,0.7340736499516536
18.8,A,0.5896514600236109
18.9,A,0.674392555359667
19.0,A,0.5710655325972379
19.1,A,0.5544267482605917
19.2,A,0.4843864358213014
19.3,A,0.45622084930437434
19.4,A,0.5293666784775939
19.5,A,0.4094570077201281
19.6,A,0.4395940389040766
19.7,A,0.6226497493771803
19.8,A,0.6406005030318469
19.9,A,0.6326120402460101
20.0,A,0.5357543055097743
20.1,A,0.5927276463330233
20.2,A,0.7198641463362282
20.3,A,0.5624405735144251
20.4,A,0.6605950017155731
20.5,A,0.5892703603393983
20.6,A,0.6766651074187414
20.7,A,0.7568909335781084
20.8,A,0.6948549552187115
20.9,A,0.8559096219223032
21.0,A,0.6439680338693914
21.1,A,0.685991306720262
21.2,A,0.7235234992836845
21.3,A,0.6231864855807897
21.4,A,0.5849092061913155
21.5,A,0.8343902230438133
21.6,A,0.8200586096898832
21.7,A,0.788265746639998
21.8,A,0.8010501358205551
21.9,A,0.7951540233890403
22.0,A,0.699950917864681
22.1,A,0.7245685221533438
22.2,A,0.7344703189998953
22.3,A,0.7649841400081161
22.4,A,0.5900625249483354
22.5,A,0.7705852972445263
22.6,A,0.6250842159241927
22.7,A,0.7284745150781268
22.8,A,0.6432827783409287
22.9,A,0.7780160522314747
23.0,A,0.6788317104773635
23.1,A,0.5759887676183777
23.2,A,0.8027315543533448
23.3,A,0.7388964388217109
23.4,A,0.7967948993950541
23.5,A,0.8339769598070661
23.6,A,0.7189548934319846
23.7,A,0.721496922105943
23.8,A,0.7186345507973332
23.9,A,0.707087039167851
